host_response_time,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_score_mean,review_tier
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,129.0,3,365,3.0,1125.0,3,20,42,149,28,1,4.54,4.63,4.68,4.74,4.84,4.46,4.648333333333333,Alta (4.5–4.8]
within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,178.0,3,1124,3.0,1124.0,1,8,27,233,42,5,4.95,4.97,4.94,4.97,4.92,4.87,4.9366666666666665,Excelente (>4.8)
within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,139.0,3,365,3.0,1125.0,3,15,38,82,11,2,4.71,4.74,4.7,4.74,4.93,4.54,4.726666666666667,Alta (4.5–4.8]
within a few hours,True,True,Embajadores,Private room in rental unit,Private room,2,1.0,1.0,2.0,108.0,31,330,31.0,330.0,18,20,20,54,2,0,4.77,4.79,4.92,4.96,4.62,4.73,4.798333333333333,Alta (4.5–4.8]
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,126.0,3,365,3.0,1125.0,4,14,39,213,24,2,4.64,4.64,4.78,4.71,4.89,4.57,4.705,Alta (4.5–4.8]
within a few hours,True,True,Rosas,Private room in rental unit,Private room,2,2.0,1.0,1.0,91.0,1,30,1.0,30.0,29,59,89,33,13,0,4.45,4.56,4.94,4.97,4.66,4.69,4.711666666666667,Alta (4.5–4.8]
within an hour,True,True,Universidad,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,68.0,120,1125,86.3,1125.0,10,40,70,26,5,0,4.75,4.6,4.72,4.92,4.84,4.56,4.7316666666666665,Alta (4.5–4.8]
within a few hours,True,True,Cortes,Private room in rental unit,Private room,1,1.0,2.0,1.0,50.0,3,120,3.0,1125.0,2,19,49,185,26,0,4.85,4.95,4.92,4.93,4.97,4.84,4.909999999999999,Excelente (>4.8)
within an hour,True,True,Concepción,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,119.0,1,20,1.0,1125.0,14,14,24,742,84,4,4.94,4.94,4.96,4.97,4.73,4.87,4.901666666666666,Excelente (>4.8)
within an hour,True,True,Universidad,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,114.0,15,1124,35.0,1124.0,0,0,0,54,14,0,4.87,4.85,4.94,4.98,4.96,4.8,4.9,Excelente (>4.8)
