id,name,host_id,host_response_time,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1272877698885839660,descanso Centro 2,94382805,within a day,True,True,Embajadores,Entire rental unit,Entire home/apt,3,1.0,1.0,3.0,$83.00,3,30,3.0,30.0,8,25,51,6,6,0,4.33,4.0,4.83,4.83,3.67,3.67
1272887778225585283,Piso tranquilo y acogedor,486708782,within an hour,True,True,Abrantes,Private room in rental unit,Private room,1,1.0,1.0,1.0,$34.00,2,365,2.0,365.0,14,41,71,31,31,1,4.94,4.87,4.94,4.97,4.77,4.81
1272921588200412118,Ático Plaza España-Gran Vía 2 habitaciones Parking,454815773,within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,$325.00,1,7,2.1,7.0,5,18,44,12,12,0,4.92,4.75,4.83,4.75,5.0,4.75
1272932646918118585,"Cozy apartment with parking, gym, pool and padel",460391145,within an hour,True,True,Rejas,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,$88.00,1,365,3.9,365.0,13,24,24,27,27,4,4.74,4.63,4.59,4.85,4.59,4.59
1272950001313025068,Ópera-Gran Vía 3 habitaciones Apto con Parking,454815773,within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,6,1.5,3.0,3.0,$200.00,1,9,2.4,1125.0,0,4,18,32,32,6,4.71,4.87,4.84,4.84,4.97,4.9
1273006720363066526,Habitación muy cerca del Retiro,13320078,within an hour,True,True,Ibiza,Private room in rental unit,Private room,3,2.5,1.0,3.0,$42.00,1,365,1.0,365.0,0,6,12,32,32,1,5.0,4.88,5.0,5.0,4.94,4.91
1273011553132978852,Temporary accomodation t in central Madrid,655946216,within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,$106.00,1,365,50.1,999.0,9,32,62,28,28,4,4.61,4.86,4.64,4.71,4.89,4.54
1273017923755712130,Spacious modern flat in the centre of Madrid,291253690,within an hour,True,True,Justicia,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,$215.00,1,365,5.1,365.0,8,24,44,36,36,2,4.67,4.81,4.72,4.86,4.86,4.44
1273092532538559129,Habitación en centro de Madrid.,489333141,within an hour,True,True,Universidad,Private room in rental unit,Private room,3,2.0,1.0,1.0,$63.00,1,365,1.0,365.0,11,30,58,52,52,4,4.9,5.0,5.0,4.92,4.94,4.82
1273163872214323180,Colomer XLIX,438136382,within a day,True,True,Guindalera,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$99.00,1,365,30.0,365.0,0,10,12,4,4,1,5.0,5.0,5.0,5.0,5.0,5.0
